RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
8 GB RAM,Huawei,256 GB SSD,Silver,22.10 cm ( 8.70 in ),"14""",Yes,2018,NVIDIA GeForce MX150 (2 GB),1.49 cm ( .59 in ),MateBook D Volta,Windows 10,64 bit,3799.0,No,1.29 kg ( 2.84 lb ),32.30 cm ( 12.72 in )
4 GB RAM,Dell,1 TB HDD,Black,260.30 mm ( 10.25 in ),"15.6""",NA,2018,Intel HD Graphics 620,23.65 mm ( .93 in ),Inspiron 15 3567,Windows 10,64 bit,1849.0,No,2.30 kg ( 5.07 lb ),380.00 mm ( 14.96 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Gold,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,5199.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Huawei,128 GB SSD/1 TB HDD,Grey,23.90 cm ( 9.41 in ),"15.6""",NA,2018,NVIDIA GeForce MX150 (2 GB),1.69 cm ( .67 in ),MateBook D,Windows 10,64 bit,2799.0,No,1.90 kg ( 4.19 lb ),35.80 cm ( 14.09 in )
8 GB RAM,Huawei,256 GB NVMe M.2 SSD,Mystic Silver,21.70 cm ( 8.54 in ),"13.88""",Yes,2018,NVIDIA GeForce MX150 (2 GB),1.46 cm ( .57 in ),MateBook X Pro,Windows 10,64 bit,5999.0,Yes,1.29 kg ( 2.84 lb ),30.40 cm ( 11.97 in )
8 GB RAM,Apple,128 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2017,Intel Iris Plus Graphics 640,1.49 cm ( .59 in ),MacBook Pro (Retina),macOS Sierra,NA,10199.0,NA,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,128 GB (PCIe Flash),Silver,22.70 cm ( 8.94 in ),"13.3""",NA,2017,Intel HD Graphics 6000,1.70 cm ( .67 in ),MacBook Air,macOS Sierra,NA,5199.0,NA,1.35 kg ( 2.98 lb ),32.50 cm ( 12.80 in )
8 GB RAM,Apple,128 GB (PCIe Flash),Silver,22.70 cm ( 8.94 in ),"13.3""",NA,2017,Intel HD Graphics 6000,1.70 cm ( .67 in ),MacBook Air,macOS Sierra,Not Specified,4799.0,No,1.35 kg ( 2.98 lb ),32.50 cm ( 12.80 in )
16 GB RAM,HP,1 TB PCIe NVMe M.2 SSD,Natural Silver,1.49 cm ( .59 in ),"13.3""",NA,2018,NVIDIA GeForce MX150 (2 GB),21.20 cm ( 8.35 in ),ENVY 13-ah0002nx,Windows 10,64 bit,5349.0,No,1.30 kg ( 2.87 lb ),30.70 cm ( 12.09 in )
8 GB RAM,Microsoft,256 GB SSD,Platinum,223.20 mm ( 8.79 in ),"13.5""",NA,2018,Intel UHD Graphics 620,14.47 mm ( .57 in ),Surface 2,Windows 10 S,64 bit,5799.0,Yes,1.25 kg ( 2.76 lb ),308.02 mm ( 12.13 in )
